"id"	"sex"	"weight"	"TL"	"date"	"area"	"age"	"agei"	"increment"	"rad"	"trad"	"quality"
"BH-00355"	"m"	800	552	"9.7.2019"	"Peene"	3	"1"	569	569	848.6	3
"BH-00355"	"m"	800	552	"9.7.2019"	"Peene"	3	"2"	106.7	675.7	848.6	3
"BH-00355"	"m"	800	552	"9.7.2019"	"Peene"	3	"3"	135.6	811.3	848.6	3
"BH-00356"	"f"	3000	815	"9.7.2019"	"Peene"	7	"1"	460.3	460.3	1578.1	3
"BH-00356"	"f"	3000	815	"9.7.2019"	"Peene"	7	"2"	229.5	689.8	1578.1	3
"BH-00356"	"f"	3000	815	"9.7.2019"	"Peene"	7	"3"	269.5	959.3	1578.1	3
"BH-00356"	"f"	3000	815	"9.7.2019"	"Peene"	7	"4"	239	1198.3	1578.1	3
"BH-00356"	"f"	3000	815	"9.7.2019"	"Peene"	7	"5"	168.2	1366.5	1578.1	3
"BH-00356"	"f"	3000	815	"9.7.2019"	"Peene"	7	"6"	110	1476.5	1578.1	3
"BH-00356"	"f"	3000	815	"9.7.2019"	"Peene"	7	"7"	68.3	1544.8	1578.1	3
"BH-00391"	"f"	5220	903	"11.7.2019"	"Barthe"	9	"1"	501.8	501.8	1781.1	3
"BH-00391"	"f"	5220	903	"11.7.2019"	"Barthe"	9	"2"	174.9	676.7	1781.1	3
"BH-00391"	"f"	5220	903	"11.7.2019"	"Barthe"	9	"3"	228.8	905.5	1781.1	3
"BH-00391"	"f"	5220	903	"11.7.2019"	"Barthe"	9	"4"	191	1096.5	1781.1	3
"BH-00391"	"f"	5220	903	"11.7.2019"	"Barthe"	9	"5"	130.1	1226.6	1781.1	3
"BH-00391"	"f"	5220	903	"11.7.2019"	"Barthe"	9	"6"	103.7	1330.3	1781.1	3
"BH-00391"	"f"	5220	903	"11.7.2019"	"Barthe"	9	"7"	113.3	1443.6	1781.1	3
"BH-00391"	"f"	5220	903	"11.7.2019"	"Barthe"	9	"8"	153.6	1597.2	1781.1	3
"BH-00391"	"f"	5220	903	"11.7.2019"	"Barthe"	9	"9"	115.3	1712.5	1781.1	3
"BH-00392"	"f"	5600	930	"11.7.2019"	"Barthe"	6	"1"	685.5	685.5	1644.4	3
"BH-00392"	"f"	5600	930	"11.7.2019"	"Barthe"	6	"2"	272.8	958.3	1644.4	3
"BH-00392"	"f"	5600	930	"11.7.2019"	"Barthe"	6	"3"	191.1	1149.4	1644.4	3
"BH-00392"	"f"	5600	930	"11.7.2019"	"Barthe"	6	"4"	238	1387.4	1644.4	3
"BH-00392"	"f"	5600	930	"11.7.2019"	"Barthe"	6	"5"	146.5	1533.9	1644.4	3
"BH-00392"	"f"	5600	930	"11.7.2019"	"Barthe"	6	"6"	75.1	1609	1644.4	3
"BH-00398"	"f"	2655	761	"11.7.2019"	"Barthe"	6	"1"	418.9	418.9	1334.1	3
"BH-00398"	"f"	2655	761	"11.7.2019"	"Barthe"	6	"2"	326.5	745.4	1334.1	3
"BH-00398"	"f"	2655	761	"11.7.2019"	"Barthe"	6	"3"	171	916.4	1334.1	3
"BH-00398"	"f"	2655	761	"11.7.2019"	"Barthe"	6	"4"	126.5	1042.9	1334.1	3
"BH-00398"	"f"	2655	761	"11.7.2019"	"Barthe"	6	"5"	109.8	1152.7	1334.1	3
"BH-00398"	"f"	2655	761	"11.7.2019"	"Barthe"	6	"6"	98.9	1251.6	1334.1	3
"BH-00405"	"f"	715	466	"11.7.2019"	"Barthe"	2	"1"	343.6	343.6	820.6	3
"BH-00405"	"f"	715	466	"11.7.2019"	"Barthe"	2	"2"	383.7	727.3	820.6	3
"BH-00411"	"f"	1870	677	"11.7.2019"	"Barthe"	3	"1"	305.1	305.1	1105.1	3
"BH-00411"	"f"	1870	677	"11.7.2019"	"Barthe"	3	"2"	476.9	782	1105.1	3
"BH-00411"	"f"	1870	677	"11.7.2019"	"Barthe"	3	"3"	236.1	1018.1	1105.1	3
"BH-00418"	"f"	2450	758	"12.7.2019"	"Peene"	7	"1"	335	335	1441.2	3
"BH-00418"	"f"	2450	758	"12.7.2019"	"Peene"	7	"2"	209.3	544.3	1441.2	3
"BH-00418"	"f"	2450	758	"12.7.2019"	"Peene"	7	"3"	159.2	703.5	1441.2	3
"BH-00418"	"f"	2450	758	"12.7.2019"	"Peene"	7	"4"	140.1	843.6	1441.2	3
"BH-00418"	"f"	2450	758	"12.7.2019"	"Peene"	7	"5"	159.2	1002.8	1441.2	3
"BH-00418"	"f"	2450	758	"12.7.2019"	"Peene"	7	"6"	241.7	1244.5	1441.2	3
"BH-00418"	"f"	2450	758	"12.7.2019"	"Peene"	7	"7"	140.1	1384.6	1441.2	3
"BH-00419"	"f"	5780	958	"12.7.2019"	"Peene"	10	"1"	401.4	401.4	1851.2	3
"BH-00419"	"f"	5780	958	"12.7.2019"	"Peene"	10	"2"	209.6	611	1851.2	3
"BH-00419"	"f"	5780	958	"12.7.2019"	"Peene"	10	"3"	180.2	791.2	1851.2	3
"BH-00419"	"f"	5780	958	"12.7.2019"	"Peene"	10	"4"	181.9	973.1	1851.2	3
"BH-00419"	"f"	5780	958	"12.7.2019"	"Peene"	10	"5"	161.1	1134.2	1851.2	3
"BH-00419"	"f"	5780	958	"12.7.2019"	"Peene"	10	"6"	128.2	1262.4	1851.2	3
"BH-00419"	"f"	5780	958	"12.7.2019"	"Peene"	10	"7"	155.8	1418.2	1851.2	3
"BH-00419"	"f"	5780	958	"12.7.2019"	"Peene"	10	"8"	140.3	1558.5	1851.2	3
"BH-00419"	"f"	5780	958	"12.7.2019"	"Peene"	10	"9"	129.9	1688.4	1851.2	3
"BH-00419"	"f"	5780	958	"12.7.2019"	"Peene"	10	"10"	93.4	1781.8	1851.2	3
"BH-00424"	"m"	508	425	"12.7.2019"	"Peene"	3	"1"	385.7	385.7	827.1	3
"BH-00424"	"m"	508	425	"12.7.2019"	"Peene"	3	"2"	161.1	546.8	827.1	3
"BH-00424"	"m"	508	425	"12.7.2019"	"Peene"	3	"3"	165.9	712.7	827.1	3
"BH-00670"	"f"	NA	680	"01.12.2019"	"KB"	4	"1"	514.1	514.1	1574	3
"BH-00670"	"f"	NA	680	"01.12.2019"	"KB"	4	"2"	279.5	793.6	1574	3
"BH-00670"	"f"	NA	680	"01.12.2019"	"KB"	4	"3"	295.6	1089.2	1574	3
